#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot              
       8.194310526839e-05      -4.174572077041e-02      -3.178884382335e-02      -3.178891944934e-02      -4.172029418920e-02      -3.179556596755e-02 
       8.385180538687e-05      -4.368167127544e-02      -3.328689179118e-02      -3.328697469961e-02      -4.365380690460e-02      -3.329391254942e-02 
       8.580496484247e-05      -4.570584912256e-02      -3.485552971329e-02      -3.485562060448e-02      -4.567531405090e-02      -3.486286141915e-02 
       8.780361922620e-05      -4.782212489722e-02      -3.649808328836e-02      -3.649818292888e-02      -4.778866451504e-02      -3.650573869008e-02 
       8.984882825106e-05      -5.003452533916e-02      -3.821803474591e-02      -3.821814397739e-02      -4.999786025443e-02      -3.822602701275e-02 
       9.194167631394e-05      -5.234723726140e-02      -4.001903050750e-02      -4.001915025441e-02      -5.230706123511e-02      -4.002737323296e-02 
       9.408327307060e-05      -5.476461090520e-02      -4.190488877185e-02      -4.190502004273e-02      -5.472058981278e-02      -4.191359596886e-02 
       9.627475402398e-05      -5.729116792296e-02      -4.387960738435e-02      -4.387975128766e-02      -5.724293498903e-02      -4.388869349178e-02 
       9.851728112630e-05      -5.993160297291e-02      -4.594737256821e-02      -4.594753031762e-02      -5.987875716087e-02      -4.595685244465e-02 
       1.008120433951e-04      -6.269079019393e-02      -4.811256763816e-02      -4.811274056431e-02      -6.263289228258e-02      -4.812245655890e-02 
       1.031602575437e-04      -6.557378641809e-02      -5.037978230630e-02      -5.037997186645e-02      -6.551035607685e-02      -5.039009595487e-02 
       1.055631686263e-04      -6.858583698286e-02      -5.275382240114e-02      -5.275403019360e-02      -6.851634807618e-02      -5.276457686167e-02 
       1.080220506983e-04      -7.173237808809e-02      -5.523971998933e-02      -5.523994776379e-02      -7.165625536544e-02      -5.525093173068e-02 
       1.105382074914e-04      -7.501904298426e-02      -5.784274421640e-02      -5.784299389258e-02      -7.493565636977e-02      -5.785443007952e-02 
       1.131129731052e-04      -7.845166262949e-02      -6.056841202773e-02      -6.056868570610e-02      -7.836032355560e-02      -6.058058920019e-02 
       1.157477127146e-04      -8.203627237915e-02      -6.342250043163e-02      -6.342280041588e-02      -8.193622706453e-02      -6.343518642742e-02 
       1.184438232934e-04      -8.577911273327e-02      -6.641105813486e-02      -6.641138694968e-02      -8.566953642886e-02      -6.642427076329e-02 
       1.212027343550e-04      -8.968663164590e-02      -6.954041863099e-02      -6.954077904073e-02      -8.956662289557e-02      -6.955417595907e-02 
       1.240259087108e-04      -9.376548828822e-02      -7.281721361478e-02      -7.281760864918e-02      -9.363406086411e-02      -7.283153392848e-02 
       1.269148432450e-04      -9.802255176760e-02      -7.624838684806e-02      -7.624881982143e-02      -9.787862840042e-02      -7.626328859838e-02 
